Record Length,2500,Points,Tiempo1,Voltaje1,,,,,Tiempo2,Voltaje2
Sample Interval,1E-06,s,-0.0012500001,68,,Record Length,2500,Points,-0.0012500001,56
Trigger Point,1250.0002,Samples,-0.0012490001,68,,Sample Interval,1E-06,s,-0.0012490001,58
,,,-0.0012480001,70,,Trigger Point,1250.0002,Samples,-0.0012480001,62
,,,-0.0012470001,70,,,,,-0.0012470001,64
,,,-0.0012460001,72,,,,,-0.0012460001,66
Source,CH1,,-0.0012450001,74,,,,,-0.0012450001,68
Vertical Units,Volts,,-0.001244,74,,Source,CH2,,-0.001244,70
Vertical Scale,50,,-0.001243,74,,Vertical Units,Volts,,-0.001243,74
Vertical Offset,0,,-0.0012420001,76,,Vertical Scale,50,,-0.0012420001,76
Horizontal Units,s,,-0.0012410001,76,,Vertical Offset,0,,-0.0012410001,78
Horizontal Scale,0.00024999999937,,-0.0012400001,78,,Horizontal Units,s,,-0.0012400001,80
Pt Fmt,Y,,-0.0012390001,78,,Horizontal Scale,0.00024999999937,,-0.0012390001,84
Yzero,0.16,,-0.0012380001,78,,Pt Fmt,Y,,-0.0012380001,86
Probe Atten,10,,-0.0012370001,80,,Yzero,0.08,,-0.0012370001,88
,,,-0.0012360001,80,,Probe Atten,10,,-0.0012360001,90
Note, - 6:51:41 p. m.   11/03/2021,,-0.0012350001,80,,,,,-0.0012350001,94
,,,-0.0012340001,82,,Note, - 6:51:41 p. m.   11/03/2021,,-0.0012340001,94
,,,-0.0012330001,84,,,,,-0.0012330001,98
,,,-0.0012320001,84,,,,,-0.0012320001,98
,,,-0.0012310001,84,,,,,-0.0012310001,102
,,,-0.0012300001,86,,,,,-0.0012300001,104
,,,-0.001229,86,,,,,-0.001229,106
,,,-0.001228,86,,,,,-0.001228,108
,,,-0.0012270001,86,,,,,-0.0012270001,108
,,,-0.0012260001,86,,,,,-0.0012260001,108
,,,-0.0012250001,86,,,,,-0.0012250001,110
,,,-0.0012240001,86,,,,,-0.0012240001,108
,,,-0.0012230001,88,,,,,-0.0012230001,108
,,,-0.0012220001,88,,,,,-0.0012220001,108
,,,-0.0012210001,88,,,,,-0.0012210001,108
,,,-0.0012200001,88,,,,,-0.0012200001,108
,,,-0.0012190001,88,,,,,-0.0012190001,106
,,,-0.0012180001,88,,,,,-0.0012180001,108
,,,-0.0012170001,86,,,,,-0.0012170001,106
,,,-0.0012160001,88,,,,,-0.0012160001,106
,,,-0.0012150001,86,,,,,-0.0012150001,108
,,,-0.001214,86,,,,,-0.001214,106
,,,-0.001213,86,,,,,-0.001213,108
,,,-0.001212,84,,,,,-0.001212,108
,,,-0.0012110001,84,,,,,-0.0012110001,108
,,,-0.0012100001,84,,,,,-0.0012100001,108
,,,-0.0012090001,82,,,,,-0.0012090001,108
,,,-0.0012080001,82,,,,,-0.0012080001,108
,,,-0.0012070001,82,,,,,-0.0012070001,106
,,,-0.0012060001,80,,,,,-0.0012060001,106
,,,-0.0012050001,80,,,,,-0.0012050001,106
,,,-0.0012040001,78,,,,,-0.0012040001,106
,,,-0.0012030001,78,,,,,-0.0012030001,106
,,,-0.0012020001,76,,,,,-0.0012020001,106
,,,-0.0012010001,76,,,,,-0.0012010001,106
,,,-0.0012000001,74,,,,,-0.0012000001,106
,,,-0.001199,74,,,,,-0.001199,106
,,,-0.001198,74,,,,,-0.001198,106
,,,-0.001197,72,,,,,-0.001197,106
,,,-0.0011960001,70,,,,,-0.0011960001,106
,,,-0.0011950001,68,,,,,-0.0011950001,106
,,,-0.0011940001,68,,,,,-0.0011940001,104
,,,-0.0011930001,66,,,,,-0.0011930001,104
,,,-0.0011920001,64,,,,,-0.0011920001,104
,,,-0.0011910001,64,,,,,-0.0011910001,104
,,,-0.0011900001,62,,,,,-0.0011900001,104
,,,-0.0011890001,62,,,,,-0.0011890001,104
,,,-0.0011880001,60,,,,,-0.0011880001,104
,,,-0.0011870001,60,,,,,-0.0011870001,104
,,,-0.0011860001,58,,,,,-0.0011860001,104
,,,-0.0011850001,56,,,,,-0.0011850001,104
,,,-0.0011840001,56,,,,,-0.0011840001,104
,,,-0.001183,54,,,,,-0.001183,104
,,,-0.001182,52,,,,,-0.001182,104
,,,-0.0011810001,52,,,,,-0.0011810001,102
,,,-0.0011800001,50,,,,,-0.0011800001,104
,,,-0.0011790001,48,,,,,-0.0011790001,102
,,,-0.0011780001,48,,,,,-0.0011780001,102
,,,-0.0011770001,46,,,,,-0.0011770001,102
,,,-0.0011760001,44,,,,,-0.0011760001,102
,,,-0.0011750001,44,,,,,-0.0011750001,102
,,,-0.0011740001,42,,,,,-0.0011740001,100
,,,-0.0011730001,40,,,,,-0.0011730001,100
,,,-0.0011720001,40,,,,,-0.0011720001,100
,,,-0.0011710001,38,,,,,-0.0011710001,98
,,,-0.0011700001,38,,,,,-0.0011700001,98
,,,-0.0011690001,36,,,,,-0.0011690001,98
,,,-0.001168,34,,,,,-0.001168,96
,,,-0.001167,34,,,,,-0.001167,96
,,,-0.001166,32,,,,,-0.001166,96
,,,-0.0011650001,30,,,,,-0.0011650001,94
,,,-0.0011640001,30,,,,,-0.0011640001,94
,,,-0.0011630001,30,,,,,-0.0011630001,92
,,,-0.0011620001,26,,,,,-0.0011620001,92
,,,-0.0011610001,26,,,,,-0.0011610001,90
,,,-0.0011600001,24,,,,,-0.0011600001,90
,,,-0.0011590001,22,,,,,-0.0011590001,88
,,,-0.0011580001,22,,,,,-0.0011580001,84
,,,-0.0011570001,20,,,,,-0.0011570001,84
,,,-0.0011560001,20,,,,,-0.0011560001,82
,,,-0.0011550001,16,,,,,-0.0011550001,82
,,,-0.0011540001,16,,,,,-0.0011540001,80
,,,-0.001153,16,,,,,-0.001153,78
,,,-0.001152,14,,,,,-0.001152,76
,,,-0.001151,12,,,,,-0.001151,76
,,,-0.0011500001,12,,,,,-0.0011500001,72
,,,-0.0011490001,10,,,,,-0.0011490001,72
,,,-0.0011480001,10,,,,,-0.0011480001,70
,,,-0.0011470001,8,,,,,-0.0011470001,68
,,,-0.0011460001,6,,,,,-0.0011460001,68
,,,-0.0011450001,4,,,,,-0.0011450001,64
,,,-0.0011440001,4,,,,,-0.0011440001,64
,,,-0.0011430001,4,,,,,-0.0011430001,62
,,,-0.0011420001,2,,,,,-0.0011420001,58
,,,-0.0011410001,0,,,,,-0.0011410001,58
,,,-0.0011400001,0,,,,,-0.0011400001,56
,,,-0.0011390001,-2,,,,,-0.0011390001,54
,,,-0.0011380001,-4,,,,,-0.0011380001,52
,,,-0.001137,-4,,,,,-0.001137,50
,,,-0.001136,-6,,,,,-0.001136,48
,,,-0.0011350001,-8,,,,,-0.0011350001,46
,,,-0.0011340001,-10,,,,,-0.0011340001,42
,,,-0.0011330001,-10,,,,,-0.0011330001,40
,,,-0.0011320001,-12,,,,,-0.0011320001,38
,,,-0.0011310001,-12,,,,,-0.0011310001,36
,,,-0.0011300001,-14,,,,,-0.0011300001,34
,,,-0.0011290001,-16,,,,,-0.0011290001,32
,,,-0.0011280001,-16,,,,,-0.0011280001,30
,,,-0.0011270001,-18,,,,,-0.0011270001,28
,,,-0.0011260001,-18,,,,,-0.0011260001,26
,,,-0.0011250001,-20,,,,,-0.0011250001,24
,,,-0.0011240001,-22,,,,,-0.0011240001,22
,,,-0.0011230001,-24,,,,,-0.0011230001,18
,,,-0.001122,-24,,,,,-0.001122,16
,,,-0.001121,-26,,,,,-0.001121,14
,,,-0.0011200001,-28,,,,,-0.0011200001,12
,,,-0.0011190001,-28,,,,,-0.0011190001,10
,,,-0.0011180001,-30,,,,,-0.0011180001,8
,,,-0.0011170001,-32,,,,,-0.0011170001,6
,,,-0.0011160001,-32,,,,,-0.0011160001,4
,,,-0.0011150001,-34,,,,,-0.0011150001,2
