Record Length,2500,Points,Tiempo1,Voltaje1,,Record Length,2500,Points,Tiempo2,Voltaje2
Sample Interval,1E-06,s,-0.0012500001,-1.2,,Sample Interval,1E-06,s,-0.0012500001,16
Trigger Point,1250.0002,Samples,-0.0012490001,-1.2,,Trigger Point,1250.0002,Samples,-0.0012490001,16
,,,-0.0012480001,-1,,,,,-0.0012480001,16.8000011
,,,-0.0012470001,-1,,,,,-0.0012470001,16
,,,-0.0012460001,-0.600000023842,,,,,-0.0012460001,16
Source,CH1,,-0.0012450001,-0.600000023842,,Source,CH2,,-0.0012450001,16
Vertical Units,Volts,,-0.001244,-0.40000000596,,Vertical Units,Volts,,-0.001244,16.8000011
Vertical Scale,5.00000007,,-0.001243,-0.20000000298,,Vertical Scale,20.0000003,,-0.001243,16.8000011
Vertical Offset,0,,-0.0012420001,-0.20000000298,,Vertical Offset,0,,-0.0012420001,16.8000011
Horizontal Units,s,,-0.0012410001,0,,Horizontal Units,s,,-0.0012410001,16.8000011
Horizontal Scale,0.00024999999937,,-0.0012400001,-0.20000000298,,Horizontal Scale,0.00024999999937,,-0.0012400001,16.8000011
Pt Fmt,Y,,-0.0012390001,0.20000000298,,Pt Fmt,Y,,-0.0012390001,16.8000011
Yzero,0.16,,-0.0012380001,0.40000000596,,Yzero,0.08,,-0.0012380001,16.8000011
Probe Atten,10,,-0.0012370001,0.40000000596,,Probe Atten,10,,-0.0012370001,16.8000011
,,,-0.0012360001,0.800000011921,,,,,-0.0012360001,17.6000004
Note, - 7:00:59 p. m.   11/03/2021,,-0.0012350001,0.600000023842,,Note, - 7:00:59 p. m.   11/03/2021,,-0.0012350001,17.6000004
,,,-0.0012340001,0.800000011921,,,,,-0.0012340001,16.8000011
,,,-0.0012330001,1,,,,,-0.0012330001,17.6000004
,,,-0.0012320001,1,,,,,-0.0012320001,17.6000004
,,,-0.0012310001,1.2,,,,,-0.0012310001,17.6000004
,,,-0.0012300001,1.4,,,,,-0.0012300001,17.6000004
,,,-0.001229,1.4,,,,,-0.001229,17.6000004
,,,-0.001228,1.6,,,,,-0.001228,18.3999996
,,,-0.0012270001,2,,,,,-0.0012270001,18.3999996
,,,-0.0012260001,2,,,,,-0.0012260001,18.3999996
,,,-0.0012250001,2.4000001,,,,,-0.0012250001,18.3999996
,,,-0.0012240001,2.2,,,,,-0.0012240001,18.3999996
,,,-0.0012230001,2.4000001,,,,,-0.0012230001,18.3999996
,,,-0.0012220001,2.6000001,,,,,-0.0012220001,18.3999996
,,,-0.0012210001,2.79999995,,,,,-0.0012210001,19.2000008
,,,-0.0012200001,2.79999995,,,,,-0.0012200001,18.3999996
,,,-0.0012190001,2.79999995,,,,,-0.0012190001,19.2000008
,,,-0.0012180001,3.20000005,,,,,-0.0012180001,19.2000008
,,,-0.0012170001,3.20000005,,,,,-0.0012170001,19.2000008
,,,-0.0012160001,3.4000001,,,,,-0.0012160001,19.2000008
,,,-0.0012150001,3.4000001,,,,,-0.0012150001,20
,,,-0.001214,3.4000001,,,,,-0.001214,20
,,,-0.001213,3.60000014,,,,,-0.001213,20
,,,-0.001212,3.79999995,,,,,-0.001212,20
,,,-0.0012110001,4.20000029,,,,,-0.0012110001,20
,,,-0.0012100001,4.20000029,,,,,-0.0012100001,20
,,,-0.0012090001,4.20000029,,,,,-0.0012090001,20.80000114
,,,-0.0012080001,4.4000001,,,,,-0.0012080001,20.80000114
,,,-0.0012070001,4.5999999,,,,,-0.0012070001,21.60000038
,,,-0.0012060001,4.5999999,,,,,-0.0012060001,21.60000038
,,,-0.0012050001,4.80000019,,,,,-0.0012050001,20.80000114
,,,-0.0012040001,4.5999999,,,,,-0.0012040001,22.39999962
,,,-0.0012030001,5,,,,,-0.0012030001,22.39999962
,,,-0.0012020001,5.20000029,,,,,-0.0012020001,22.39999962
,,,-0.0012010001,5.20000029,,,,,-0.0012010001,22.39999962
,,,-0.0012000001,5.4000001,,,,,-0.0012000001,22.39999962
,,,-0.001199,5.4000001,,,,,-0.001199,22.39999962
,,,-0.001198,5.5999999,,,,,-0.001198,22.39999962
,,,-0.001197,5.80000019,,,,,-0.001197,24
,,,-0.0011960001,6,,,,,-0.0011960001,23.20000076
,,,-0.0011950001,6.20000029,,,,,-0.0011950001,23.20000076
,,,-0.0011940001,6.20000029,,,,,-0.0011940001,24
,,,-0.0011930001,6.20000029,,,,,-0.0011930001,24
,,,-0.0011920001,6.20000029,,,,,-0.0011920001,24.80000114
,,,-0.0011910001,6.4000001,,,,,-0.0011910001,24
,,,-0.0011900001,6.4000001,,,,,-0.0011900001,24.80000114
,,,-0.0011890001,6.5999999,,,,,-0.0011890001,25.60000038
,,,-0.0011880001,6.80000019,,,,,-0.0011880001,24.80000114
,,,-0.0011870001,7,,,,,-0.0011870001,24.80000114
,,,-0.0011860001,7,,,,,-0.0011860001,25.60000038
,,,-0.0011850001,7.20000029,,,,,-0.0011850001,25.60000038
,,,-0.0011840001,7.20000029,,,,,-0.0011840001,26.39999962
,,,-0.001183,7.20000029,,,,,-0.001183,26.39999962
,,,-0.001182,7.400000095,,,,,-0.001182,26.39999962
,,,-0.0011810001,7.400000095,,,,,-0.0011810001,26.39999962
,,,-0.0011800001,7.400000095,,,,,-0.0011800001,27.20000076
,,,-0.0011790001,7.599999905,,,,,-0.0011790001,27.20000076
,,,-0.0011780001,7.800000191,,,,,-0.0011780001,27.20000076
,,,-0.0011770001,7.800000191,,,,,-0.0011770001,27.20000076
,,,-0.0011760001,7.800000191,,,,,-0.0011760001,28
,,,-0.0011750001,7.800000191,,,,,-0.0011750001,28
,,,-0.0011740001,8,,,,,-0.0011740001,28
,,,-0.0011730001,8,,,,,-0.0011730001,28.80000114
,,,-0.0011720001,8,,,,,-0.0011720001,28.80000114
,,,-0.0011710001,8.199999809,,,,,-0.0011710001,28.80000114
,,,-0.0011700001,8.400000572,,,,,-0.0011700001,29.60000038
,,,-0.0011690001,8.400000572,,,,,-0.0011690001,29.60000038
,,,-0.001168,8.400000572,,,,,-0.001168,29.60000038
,,,-0.001167,8.199999809,,,,,-0.001167,30.39999962
,,,-0.001166,8.600000381,,,,,-0.001166,30.39999962
,,,-0.0011650001,8.600000381,,,,,-0.0011650001,31.20000076
,,,-0.0011640001,8.600000381,,,,,-0.0011640001,30.39999962
,,,-0.0011630001,8.600000381,,,,,-0.0011630001,31.20000076
,,,-0.0011620001,8.800000191,,,,,-0.0011620001,32
,,,-0.0011610001,8.800000191,,,,,-0.0011610001,32
,,,-0.0011600001,8.800000191,,,,,-0.0011600001,32
,,,-0.0011590001,9,,,,,-0.0011590001,32
,,,-0.0011580001,8.800000191,,,,,-0.0011580001,32.79999924
,,,-0.0011570001,8.800000191,,,,,-0.0011570001,32.79999924
,,,-0.0011560001,9,,,,,-0.0011560001,32.79999924
,,,-0.0011550001,9.199999809,,,,,-0.0011550001,32.79999924
,,,-0.0011540001,9,,,,,-0.0011540001,33.60000229
,,,-0.001153,9,,,,,-0.001153,33.60000229
,,,-0.001152,9.199999809,,,,,-0.001152,33.60000229
,,,-0.001151,9.199999809,,,,,-0.001151,34.40000153
,,,-0.0011500001,9.199999809,,,,,-0.0011500001,34.40000153
,,,-0.0011490001,9,,,,,-0.0011490001,34.40000153
,,,-0.0011480001,9.199999809,,,,,-0.0011480001,34.40000153
,,,-0.0011470001,9.199999809,,,,,-0.0011470001,35.20000076
,,,-0.0011460001,9.199999809,,,,,-0.0011460001,35.20000076
,,,-0.0011450001,9.400000572,,,,,-0.0011450001,35.20000076
,,,-0.0011440001,9.199999809,,,,,-0.0011440001,35.20000076
,,,-0.0011430001,9.400000572,,,,,-0.0011430001,36
,,,-0.0011420001,9.400000572,,,,,-0.0011420001,36
,,,-0.0011410001,9.400000572,,,,,-0.0011410001,36
,,,-0.0011400001,9.199999809,,,,,-0.0011400001,36
,,,-0.0011390001,9.400000572,,,,,-0.0011390001,36.79999924
,,,-0.0011380001,9.400000572,,,,,-0.0011380001,36.79999924
,,,-0.001137,9.400000572,,,,,-0.001137,36.79999924
,,,-0.001136,9.199999809,,,,,-0.001136,37.60000229
,,,-0.0011350001,9.199999809,,,,,-0.0011350001,36.79999924
,,,-0.0011340001,9.400000572,,,,,-0.0011340001,37.60000229
,,,-0.0011330001,9.199999809,,,,,-0.0011330001,37.60000229
,,,-0.0011320001,9,,,,,-0.0011320001,37.60000229
,,,-0.0011310001,9.199999809,,,,,-0.0011310001,38.40000153
,,,-0.0011300001,9,,,,,-0.0011300001,38.40000153
,,,-0.0011290001,8.800000191,,,,,-0.0011290001,38.40000153
,,,-0.0011280001,9,,,,,-0.0011280001,39.20000076
,,,-0.0011270001,9,,,,,-0.0011270001,39.20000076
,,,-0.0011260001,9,,,,,-0.0011260001,39.20000076
,,,-0.0011250001,8.800000191,,,,,-0.0011250001,38.40000153
,,,-0.0011240001,9,,,,,-0.0011240001,39.20000076
,,,-0.0011230001,8.600000381,,,,,-0.0011230001,39.20000076
,,,-0.001122,8.600000381,,,,,-0.001122,40
,,,-0.001121,8.600000381,,,,,-0.001121,40
,,,-0.0011200001,8.800000191,,,,,-0.0011200001,40.79999924
,,,-0.0011190001,8.400000572,,,,,-0.0011190001,40
,,,-0.0011180001,8.600000381,,,,,-0.0011180001,40.79999924
,,,-0.0011170001,8.600000381,,,,,-0.0011170001,40.79999924
,,,-0.0011160001,8.400000572,,,,,-0.0011160001,40.79999924
,,,-0.0011150001,8.400000572,,,,,-0.0011150001,41.60000229
,,,-0.0011140001,8.199999809,,,,,-0.0011140001,40.79999924
,,,-0.0011130001,8,,,,,-0.0011130001,40.79999924
,,,-0.0011120001,8,,,,,-0.0011120001,41.60000229
,,,-0.0011110001,7.800000191,,,,,-0.0011110001,41.60000229
,,,-0.0011100001,8.199999809,,,,,-0.0011100001,42.40000153
,,,-0.0011090001,7.800000191,,,,,-0.0011090001,41.60000229
,,,-0.0011080001,7.800000191,,,,,-0.0011080001,41.60000229
,,,-0.001107,7.599999905,,,,,-0.001107,41.60000229
,,,-0.001106,7.599999905,,,,,-0.001106,42.40000153
,,,-0.001105,7.20000029,,,,,-0.001105,42.40000153
,,,-0.0011040001,7.400000095,,,,,-0.0011040001,42.40000153
,,,-0.0011030001,7.20000029,,,,,-0.0011030001,42.40000153
,,,-0.0011020001,7.20000029,,,,,-0.0011020001,42.40000153
,,,-0.0011010001,7,,,,,-0.0011010001,43.20000076
,,,-0.0011000001,7,,,,,-0.0011000001,43.20000076
,,,-0.0010990001,6.80000019,,,,,-0.0010990001,43.20000076
,,,-0.0010980001,7,,,,,-0.0010980001,43.20000076
,,,-0.0010970001,6.5999999,,,,,-0.0010970001,43.20000076
,,,-0.0010960001,6.4000001,,,,,-0.0010960001,43.20000076
,,,-0.0010950001,6.20000029,,,,,-0.0010950001,44
,,,-0.0010940001,6.20000029,,,,,-0.0010940001,43.20000076
,,,-0.0010930001,6.20000029,,,,,-0.0010930001,43.20000076
,,,-0.001092,6.20000029,,,,,-0.001092,44
,,,-0.001091,5.80000019,,,,,-0.001091,43.20000076
,,,-0.00109,5.80000019,,,,,-0.00109,43.20000076
,,,-0.0010890001,5.4000001,,,,,-0.0010890001,43.20000076
,,,-0.0010880001,5.4000001,,,,,-0.0010880001,43.20000076
,,,-0.0010870001,5.20000029,,,,,-0.0010870001,43.20000076
,,,-0.0010860001,5,,,,,-0.0010860001,43.20000076
,,,-0.0010850001,5,,,,,-0.0010850001,43.20000076
,,,-0.0010840001,5,,,,,-0.0010840001,44
,,,-0.0010830001,4.5999999,,,,,-0.0010830001,43.20000076
,,,-0.0010820001,4.5999999,,,,,-0.0010820001,44
,,,-0.0010810001,4.4000001,,,,,-0.0010810001,43.20000076
,,,-0.0010800001,4.20000029,,,,,-0.0010800001,44
,,,-0.0010790001,4.20000029,,,,,-0.0010790001,43.20000076
,,,-0.0010780001,4.20000029,,,,,-0.0010780001,43.20000076
,,,-0.0010770001,3.79999995,,,,,-0.0010770001,44
,,,-0.001076,3.79999995,,,,,-0.001076,43.20000076
,,,-0.001075,3.60000014,,,,,-0.001075,43.20000076
,,,-0.0010740001,3.60000014,,,,,-0.0010740001,43.20000076
,,,-0.0010730001,3.20000005,,,,,-0.0010730001,43.20000076
,,,-0.0010720001,3.20000005,,,,,-0.0010720001,43.20000076
,,,-0.0010710001,3.20000005,,,,,-0.0010710001,43.20000076
,,,-0.0010700001,2.79999995,,,,,-0.0010700001,43.20000076
,,,-0.0010690001,2.79999995,,,,,-0.0010690001,43.20000076
,,,-0.0010680001,2.6000001,,,,,-0.0010680001,43.20000076
,,,-0.0010670001,2.6000001,,,,,-0.0010670001,43.20000076
,,,-0.0010660001,2.4000001,,,,,-0.0010660001,43.20000076
,,,-0.0010650001,2.2,,,,,-0.0010650001,43.20000076
,,,-0.0010640001,2,,,,,-0.0010640001,43.20000076
,,,-0.0010630001,1.8000001,,,,,-0.0010630001,42.40000153
,,,-0.0010620001,1.4,,,,,-0.0010620001,43.20000076
,,,-0.001061,1.6,,,,,-0.001061,42.40000153
,,,-0.00106,1.4,,,,,-0.00106,42.40000153
,,,-0.001059,1.2,,,,,-0.001059,42.40000153
,,,-0.0010580001,1,,,,,-0.0010580001,42.40000153
,,,-0.0010570001,1,,,,,-0.0010570001,42.40000153
,,,-0.0010560001,0.600000023842,,,,,-0.0010560001,42.40000153
,,,-0.0010550001,0.600000023842,,,,,-0.0010550001,41.60000229
,,,-0.0010540001,0.40000000596,,,,,-0.0010540001,41.60000229
,,,-0.0010530001,0.20000000298,,,,,-0.0010530001,41.60000229
,,,-0.0010520001,0.20000000298,,,,,-0.0010520001,41.60000229
,,,-0.0010510001,-0.20000000298,,,,,-0.0010510001,41.60000229
,,,-0.0010500001,-0.20000000298,,,,,-0.0010500001,40.79999924
,,,-0.0010490001,-0.40000000596,,,,,-0.0010490001,41.60000229
,,,-0.0010480001,-0.600000023842,,,,,-0.0010480001,40.79999924
,,,-0.0010470001,-0.600000023842,,,,,-0.0010470001,40.79999924
,,,-0.001046,-0.800000011921,,,,,-0.001046,40
,,,-0.001045,-1,,,,,-0.001045,40.79999924
,,,-0.001044,-1.2,,,,,-0.001044,40.79999924
,,,-0.0010430001,-1.4,,,,,-0.0010430001,40
,,,-0.0010420001,-1.6,,,,,-0.0010420001,40
,,,-0.0010410001,-1.6,,,,,-0.0010410001,39.20000076
,,,-0.0010400001,-1.8000001,,,,,-0.0010400001,39.20000076
,,,-0.0010390001,-1.8000001,,,,,-0.0010390001,39.20000076
,,,-0.0010380001,-2,,,,,-0.0010380001,39.20000076
,,,-0.0010370001,-2.2,,,,,-0.0010370001,38.40000153
,,,-0.0010360001,-2.4000001,,,,,-0.0010360001,39.20000076
,,,-0.0010350001,-2.6000001,,,,,-0.0010350001,38.40000153
,,,-0.0010340001,-2.79999995,,,,,-0.0010340001,37.60000229
,,,-0.0010330001,-2.79999995,,,,,-0.0010330001,38.40000153
,,,-0.0010320001,-3,,,,,-0.0010320001,37.60000229
