Record Length,2500,Points,Tiempo1,Voltaje1,,,,,Tiempo2,Voltaje2
Sample Interval,1E-06,s,-0.0012500001,-16.8000011,,Record Length,2500,Points,-0.0012500001,-101.5999985
Trigger Point,1250.0002,Samples,-0.0012490001,-16.6000004,,Sample Interval,1E-06,s,-0.0012490001,-101.5999985
,,,-0.0012480001,-16.6000004,,Trigger Point,1250.0002,Samples,-0.0012480001,-101.5999985
,,,-0.0012470001,-16.3999996,,,,,-0.0012470001,-101.5999985
,,,-0.0012460001,-16,,,,,-0.0012460001,-101.5999985
Source,CH1,,-0.0012450001,-16,,,,,-0.0012450001,-101.5999985
Vertical Units,Volts,,-0.001244,-15.8000002,,Source,CH2,,-0.001244,-102.4000015
Vertical Scale,5.00000007,,-0.001243,-15.6000004,,Vertical Units,Volts,,-0.001243,-101.5999985
Vertical Offset,0,,-0.0012420001,-15.1999998,,Vertical Scale,20.0000003,,-0.0012420001,-103.2000046
Horizontal Units,s,,-0.0012410001,-15,,Vertical Offset,0,,-0.0012410001,-102.4000015
Horizontal Scale,0.00024999999937,,-0.0012400001,-15,,Horizontal Units,s,,-0.0012400001,-102.4000015
Pt Fmt,Y,,-0.0012390001,-14.8000002,,Horizontal Scale,0.00024999999937,,-0.0012390001,-103.2000046
Yzero,0.24,,-0.0012380001,-14.4000006,,Pt Fmt,Y,,-0.0012380001,-102.4000015
Probe Atten,10,,-0.0012370001,-14.1999998,,Yzero,2.92,,-0.0012370001,-103.2000046
,,,-0.0012360001,-14.1999998,,Probe Atten,10,,-0.0012360001,-103.2000046
Note, - 7:04:55 p. m.   11/03/2021,,-0.0012350001,-13.8000002,,,,,-0.0012350001,-103.2000046
,,,-0.0012340001,-13.6000004,,Note, - 7:04:55 p. m.   11/03/2021,,-0.0012340001,-102.4000015
,,,-0.0012330001,-13.4000006,,,,,-0.0012330001,-103.2000046
,,,-0.0012320001,-13.1999998,,,,,-0.0012320001,-103.2000046
,,,-0.0012310001,-13,,,,,-0.0012310001,-102.4000015
,,,-0.0012300001,-12.8000002,,,,,-0.0012300001,-102.4000015
,,,-0.001229,-12.6000004,,,,,-0.001229,-101.5999985
,,,-0.001228,-12.4000006,,,,,-0.001228,-102.4000015
,,,-0.0012270001,-12,,,,,-0.0012270001,-101.5999985
,,,-0.0012260001,-11.8000002,,,,,-0.0012260001,-101.5999985
,,,-0.0012250001,-11.6000004,,,,,-0.0012250001,-101.5999985
,,,-0.0012240001,-11.1999998,,,,,-0.0012240001,-101.5999985
,,,-0.0012230001,-11,,,,,-0.0012230001,-102.4000015
,,,-0.0012220001,-10.8000002,,,,,-0.0012220001,-101.5999985
,,,-0.0012210001,-10.6000004,,,,,-0.0012210001,-100.8000031
,,,-0.0012200001,-10.4000006,,,,,-0.0012200001,-101.5999985
,,,-0.0012190001,-9.800000191,,,,,-0.0012190001,-100.8000031
,,,-0.0012180001,-9.600000381,,,,,-0.0012180001,-100.8000031
,,,-0.0012170001,-9.400000572,,,,,-0.0012170001,-100.8000031
,,,-0.0012160001,-9.400000572,,,,,-0.0012160001,-100
,,,-0.0012150001,-8.800000191,,,,,-0.0012150001,-100
,,,-0.001214,-8.600000381,,,,,-0.001214,-100
,,,-0.001213,-8.600000381,,,,,-0.001213,-99.200004578
,,,-0.001212,-8.199999809,,,,,-0.001212,-99.200004578
,,,-0.0012110001,-8,,,,,-0.0012110001,-99.200004578
,,,-0.0012100001,-7.599999905,,,,,-0.0012100001,-98.400001526
,,,-0.0012090001,-7.400000095,,,,,-0.0012090001,-97.599998474
,,,-0.0012080001,-7.20000029,,,,,-0.0012080001,-97.599998474
,,,-0.0012070001,-7,,,,,-0.0012070001,-97.599998474
,,,-0.0012060001,-6.5999999,,,,,-0.0012060001,-96.800003052
,,,-0.0012050001,-6.4000001,,,,,-0.0012050001,-97.599998474
,,,-0.0012040001,-5.80000019,,,,,-0.0012040001,-96
,,,-0.0012030001,-5.5999999,,,,,-0.0012030001,-96
,,,-0.0012020001,-5.4000001,,,,,-0.0012020001,-96
,,,-0.0012010001,-5,,,,,-0.0012010001,-95.200004578
,,,-0.0012000001,-4.80000019,,,,,-0.0012000001,-95.200004578
,,,-0.001199,-4.5999999,,,,,-0.001199,-95.200004578
,,,-0.001198,-4.4000001,,,,,-0.001198,-94.400001526
,,,-0.001197,-4,,,,,-0.001197,-93.599998474
,,,-0.0011960001,-4,,,,,-0.0011960001,-93.599998474
,,,-0.0011950001,-3.60000014,,,,,-0.0011950001,-92.800003052
,,,-0.0011940001,-3.20000005,,,,,-0.0011940001,-92
,,,-0.0011930001,-3,,,,,-0.0011930001,-91.200004578
,,,-0.0011920001,-2.6000001,,,,,-0.0011920001,-91.200004578
,,,-0.0011910001,-2.2,,,,,-0.0011910001,-91.200004578
,,,-0.0011900001,-2,,,,,-0.0011900001,-90.400001526
,,,-0.0011890001,-1.8000001,,,,,-0.0011890001,-90.400001526
,,,-0.0011880001,-1.4,,,,,-0.0011880001,-88.800003052
,,,-0.0011870001,-1.2,,,,,-0.0011870001,-88.800003052
,,,-0.0011860001,-1,,,,,-0.0011860001,-88
,,,-0.0011850001,-0.600000023842,,,,,-0.0011850001,-87.200004578
,,,-0.0011840001,-0.40000000596,,,,,-0.0011840001,-87.200004578
,,,-0.001183,-0.20000000298,,,,,-0.001183,-86.400001526
,,,-0.001182,0.20000000298,,,,,-0.001182,-85.599998474
,,,-0.0011810001,0.40000000596,,,,,-0.0011810001,-85.599998474
,,,-0.0011800001,0.800000011921,,,,,-0.0011800001,-84.800003052
,,,-0.0011790001,1,,,,,-0.0011790001,-84
,,,-0.0011780001,1.4,,,,,-0.0011780001,-83.200004578
,,,-0.0011770001,1.6,,,,,-0.0011770001,-82.400001526
,,,-0.0011760001,2.2,,,,,-0.0011760001,-82.400001526
,,,-0.0011750001,2.4000001,,,,,-0.0011750001,-81.599998474
,,,-0.0011740001,2.4000001,,,,,-0.0011740001,-80.800003052
,,,-0.0011730001,2.79999995,,,,,-0.0011730001,-80
,,,-0.0011720001,3,,,,,-0.0011720001,-79.200004578
,,,-0.0011710001,3.20000005,,,,,-0.0011710001,-79.200004578
,,,-0.0011700001,3.60000014,,,,,-0.0011700001,-78.400001526
,,,-0.0011690001,3.79999995,,,,,-0.0011690001,-78.400001526
