Record Length,2500,Points,Tiempo,Voltaje
Sample Interval,1E-06,s,-0.0012500001,-30
Trigger Point,1250.0002,Samples,-0.0012490001,-32
,,,-0.0012480001,-34
,,,-0.0012470001,-38
,,,-0.0012460001,-42
Source,CH2,,-0.0012450001,-42
Vertical Units,Volts,,-0.001244,-46
Vertical Scale,50,,-0.001243,-48
Vertical Offset,0,,-0.0012420001,-50
Horizontal Units,s,,-0.0012410001,-52
Horizontal Scale,0.00024999999937,,-0.0012400001,-56
Pt Fmt,Y,,-0.0012390001,-58
Yzero,0.08,,-0.0012380001,-60
Probe Atten,10,,-0.0012370001,-64
,,,-0.0012360001,-66
Note, - 6:34:56 p. m.   11/03/2021,,-0.0012350001,-68
,,,-0.0012340001,-70
,,,-0.0012330001,-72
,,,-0.0012320001,-76
,,,-0.0012310001,-78
,,,-0.0012300001,-80
,,,-0.001229,-84
,,,-0.001228,-86
,,,-0.0012270001,-88
,,,-0.0012260001,-90
,,,-0.0012250001,-94
,,,-0.0012240001,-96
,,,-0.0012230001,-98
,,,-0.0012220001,-102
,,,-0.0012210001,-102
,,,-0.0012200001,-106
,,,-0.0012190001,-108
,,,-0.0012180001,-110
,,,-0.0012170001,-112
,,,-0.0012160001,-114
,,,-0.0012150001,-116
,,,-0.001214,-118
,,,-0.001213,-120
,,,-0.001212,-122
,,,-0.0012110001,-126
,,,-0.0012100001,-128
,,,-0.0012090001,-128
,,,-0.0012080001,-130
,,,-0.0012070001,-130
,,,-0.0012060001,-130
,,,-0.0012050001,-132
,,,-0.0012040001,-132
,,,-0.0012030001,-132
,,,-0.0012020001,-134
,,,-0.0012010001,-134
,,,-0.0012000001,-134
,,,-0.001199,-134
,,,-0.001198,-132
,,,-0.001197,-134
,,,-0.0011960001,-134
,,,-0.0011950001,-132
,,,-0.0011940001,-134
,,,-0.0011930001,-134
,,,-0.0011920001,-132
,,,-0.0011910001,-132
,,,-0.0011900001,-132
,,,-0.0011890001,-132
,,,-0.0011880001,-132
,,,-0.0011870001,-130
,,,-0.0011860001,-130
,,,-0.0011850001,-130
,,,-0.0011840001,-130
,,,-0.001183,-128
,,,-0.001182,-128
,,,-0.0011810001,-128
,,,-0.0011800001,-128
,,,-0.0011790001,-126
,,,-0.0011780001,-126
,,,-0.0011770001,-126
,,,-0.0011760001,-124
,,,-0.0011750001,-122
,,,-0.0011740001,-122
,,,-0.0011730001,-120
,,,-0.0011720001,-118
,,,-0.0011710001,-116
,,,-0.0011700001,-114
,,,-0.0011690001,-112
,,,-0.001168,-110
,,,-0.001167,-110
,,,-0.001166,-106
,,,-0.0011650001,-104
,,,-0.0011640001,-102
,,,-0.0011630001,-102
,,,-0.0011620001,-98
,,,-0.0011610001,-96
,,,-0.0011600001,-92
,,,-0.0011590001,-90
,,,-0.0011580001,-88
,,,-0.0011570001,-86
,,,-0.0011560001,-84
,,,-0.0011550001,-82
,,,-0.0011540001,-78
,,,-0.001153,-76
,,,-0.001152,-74
,,,-0.001151,-72
,,,-0.0011500001,-68
,,,-0.0011490001,-66
,,,-0.0011480001,-64
,,,-0.0011470001,-60
,,,-0.0011460001,-58
,,,-0.0011450001,-56
,,,-0.0011440001,-54
,,,-0.0011430001,-52
,,,-0.0011420001,-48
,,,-0.0011410001,-46
,,,-0.0011400001,-42
,,,-0.0011390001,-40
,,,-0.0011380001,-38
,,,-0.001137,-34
,,,-0.001136,-32
,,,-0.0011350001,-30
,,,-0.0011340001,-28
,,,-0.0011330001,-24
,,,-0.0011320001,-22
,,,-0.0011310001,-20
,,,-0.0011300001,-16
,,,-0.0011290001,-12
,,,-0.0011280001,-10
,,,-0.0011270001,-8
,,,-0.0011260001,-6
,,,-0.0011250001,-2
,,,-0.0011240001,0
,,,-0.0011230001,4
,,,-0.001122,6
,,,-0.001121,8
,,,-0.0011200001,10
,,,-0.0011190001,12
,,,-0.0011180001,14
,,,-0.0011170001,16
,,,-0.0011160001,20
,,,-0.0011150001,22
,,,-0.0011140001,24
,,,-0.0011130001,28
,,,-0.0011120001,30
,,,-0.0011110001,34
,,,-0.0011100001,36
,,,-0.0011090001,38
,,,-0.0011080001,42
,,,-0.001107,44
,,,-0.001106,48
,,,-0.001105,50
,,,-0.0011040001,54
,,,-0.0011030001,54
,,,-0.0011020001,58
,,,-0.0011010001,62
,,,-0.0011000001,64
,,,-0.0010990001,66
,,,-0.0010980001,70
,,,-0.0010970001,72
,,,-0.0010960001,76
,,,-0.0010950001,78
,,,-0.0010940001,80
,,,-0.0010930001,84
,,,-0.001092,88
,,,-0.001091,90
,,,-0.00109,92
,,,-0.0010890001,96
,,,-0.0010880001,98
,,,-0.0010870001,100
,,,-0.0010860001,104
,,,-0.0010850001,106
,,,-0.0010840001,108
,,,-0.0010830001,110
,,,-0.0010820001,110
,,,-0.0010810001,112
,,,-0.0010800001,114
,,,-0.0010790001,114
,,,-0.0010780001,114
,,,-0.0010770001,116
,,,-0.001076,116
,,,-0.001075,116
,,,-0.0010740001,116
,,,-0.0010730001,116
,,,-0.0010720001,118
,,,-0.0010710001,118
,,,-0.0010700001,118
,,,-0.0010690001,118
,,,-0.0010680001,120
,,,-0.0010670001,118
,,,-0.0010660001,118
,,,-0.0010650001,118
,,,-0.0010640001,118
,,,-0.0010630001,118
,,,-0.0010620001,118
,,,-0.001061,118
,,,-0.00106,118
