Record Length,2500,Points,Tiempo1,Voltaje1,,,,,Tiempo2,Voltaje2
Sample Interval,1E-06,s,-0.0012500001,-84,,Record Length,2500,Points,-0.0012500001,-90
Trigger Point,1250.0002,Samples,-0.0012490001,-86,,Sample Interval,1E-06,s,-0.0012490001,-94
,,,-0.0012480001,-88,,Trigger Point,1250.0002,Samples,-0.0012480001,-96
,,,-0.0012470001,-90,,,,,-0.0012470001,-98
,,,-0.0012460001,-92,,,,,-0.0012460001,-100
Source,CH1,,-0.0012450001,-94,,,,,-0.0012450001,-104
Vertical Units,Volts,,-0.001244,-96,,Source,CH2,,-0.001244,-106
Vertical Scale,50,,-0.001243,-98,,Vertical Units,Volts,,-0.001243,-110
Vertical Offset,0,,-0.0012420001,-100,,Vertical Scale,50,,-0.0012420001,-110
Horizontal Units,s,,-0.0012410001,-102,,Vertical Offset,0,,-0.0012410001,-114
Horizontal Scale,0.00024999999937,,-0.0012400001,-104,,Horizontal Units,s,,-0.0012400001,-114
Pt Fmt,Y,,-0.0012390001,-106,,Horizontal Scale,0.00024999999937,,-0.0012390001,-118
Yzero,0.16,,-0.0012380001,-108,,Pt Fmt,Y,,-0.0012380001,-120
Probe Atten,10,,-0.0012370001,-110,,Yzero,0.08,,-0.0012370001,-122
,,,-0.0012360001,-110,,Probe Atten,10,,-0.0012360001,-126
Note, - 6:39:07 p. m.   11/03/2021,,-0.0012350001,-112,,,,,-0.0012350001,-128
,,,-0.0012340001,-114,,Note, - 6:39:07 p. m.   11/03/2021,,-0.0012340001,-128
,,,-0.0012330001,-114,,,,,-0.0012330001,-130
,,,-0.0012320001,-118,,,,,-0.0012320001,-130
,,,-0.0012310001,-118,,,,,-0.0012310001,-130
,,,-0.0012300001,-118,,,,,-0.0012300001,-132
,,,-0.001229,-120,,,,,-0.001229,-132
,,,-0.001228,-120,,,,,-0.001228,-132
,,,-0.0012270001,-122,,,,,-0.0012270001,-132
,,,-0.0012260001,-122,,,,,-0.0012260001,-132
,,,-0.0012250001,-122,,,,,-0.0012250001,-132
,,,-0.0012240001,-124,,,,,-0.0012240001,-132
,,,-0.0012230001,-122,,,,,-0.0012230001,-134
,,,-0.0012220001,-124,,,,,-0.0012220001,-134
,,,-0.0012210001,-122,,,,,-0.0012210001,-134
,,,-0.0012200001,-122,,,,,-0.0012200001,-132
,,,-0.0012190001,-122,,,,,-0.0012190001,-134
,,,-0.0012180001,-122,,,,,-0.0012180001,-134
,,,-0.0012170001,-122,,,,,-0.0012170001,-134
,,,-0.0012160001,-120,,,,,-0.0012160001,-132
,,,-0.0012150001,-120,,,,,-0.0012150001,-132
,,,-0.001214,-120,,,,,-0.001214,-132
,,,-0.001213,-120,,,,,-0.001213,-134
,,,-0.001212,-118,,,,,-0.001212,-132
,,,-0.0012110001,-118,,,,,-0.0012110001,-132
,,,-0.0012100001,-116,,,,,-0.0012100001,-132
,,,-0.0012090001,-116,,,,,-0.0012090001,-132
,,,-0.0012080001,-114,,,,,-0.0012080001,-130
,,,-0.0012070001,-114,,,,,-0.0012070001,-130
,,,-0.0012060001,-112,,,,,-0.0012060001,-130
,,,-0.0012050001,-110,,,,,-0.0012050001,-130
,,,-0.0012040001,-110,,,,,-0.0012040001,-130
,,,-0.0012030001,-108,,,,,-0.0012030001,-130
,,,-0.0012020001,-106,,,,,-0.0012020001,-130
,,,-0.0012010001,-106,,,,,-0.0012010001,-128
,,,-0.0012000001,-104,,,,,-0.0012000001,-128
,,,-0.001199,-104,,,,,-0.001199,-126
,,,-0.001198,-100,,,,,-0.001198,-126
,,,-0.001197,-100,,,,,-0.001197,-126
,,,-0.0011960001,-98,,,,,-0.0011960001,-126
,,,-0.0011950001,-96,,,,,-0.0011950001,-124
,,,-0.0011940001,-96,,,,,-0.0011940001,-124
,,,-0.0011930001,-94,,,,,-0.0011930001,-122
,,,-0.0011920001,-92,,,,,-0.0011920001,-120
,,,-0.0011910001,-90,,,,,-0.0011910001,-120
,,,-0.0011900001,-88,,,,,-0.0011900001,-116
,,,-0.0011890001,-86,,,,,-0.0011890001,-114
,,,-0.0011880001,-86,,,,,-0.0011880001,-112
,,,-0.0011870001,-84,,,,,-0.0011870001,-110
,,,-0.0011860001,-82,,,,,-0.0011860001,-110
,,,-0.0011850001,-80,,,,,-0.0011850001,-108
,,,-0.0011840001,-78,,,,,-0.0011840001,-106
,,,-0.001183,-76,,,,,-0.001183,-102
,,,-0.001182,-74,,,,,-0.001182,-100
,,,-0.0011810001,-72,,,,,-0.0011810001,-98
,,,-0.0011800001,-70,,,,,-0.0011800001,-96
,,,-0.0011790001,-68,,,,,-0.0011790001,-94
,,,-0.0011780001,-66,,,,,-0.0011780001,-92
,,,-0.0011770001,-62,,,,,-0.0011770001,-90
,,,-0.0011760001,-60,,,,,-0.0011760001,-86
,,,-0.0011750001,-58,,,,,-0.0011750001,-86
,,,-0.0011740001,-58,,,,,-0.0011740001,-80
,,,-0.0011730001,-54,,,,,-0.0011730001,-78
,,,-0.0011720001,-52,,,,,-0.0011720001,-76
,,,-0.0011710001,-50,,,,,-0.0011710001,-74
,,,-0.0011700001,-48,,,,,-0.0011700001,-72
,,,-0.0011690001,-46,,,,,-0.0011690001,-70
,,,-0.001168,-44,,,,,-0.001168,-68
,,,-0.001167,-42,,,,,-0.001167,-64
,,,-0.001166,-40,,,,,-0.001166,-62
,,,-0.0011650001,-38,,,,,-0.0011650001,-60
,,,-0.0011640001,-36,,,,,-0.0011640001,-56
,,,-0.0011630001,-32,,,,,-0.0011630001,-54
,,,-0.0011620001,-32,,,,,-0.0011620001,-50
,,,-0.0011610001,-28,,,,,-0.0011610001,-50
,,,-0.0011600001,-26,,,,,-0.0011600001,-46
,,,-0.0011590001,-24,,,,,-0.0011590001,-44
,,,-0.0011580001,-22,,,,,-0.0011580001,-42
