Record Length,2500,Points,,,Tiempo,Voltaje,
Sample Interval,2,0,s,-2,33000000,4.079999924,
Trigger Point,1,170000000000,Samples,-2,33000000,4.079.999.924,
,,,,-2,33000000,4.160.000.229,
,,,,-2,32000000,4.079.999.924,
,,,,-2,32000000,4.000.000.000,
Source,CH2,,,-2,32000000,4.079.999.924,
Vertical Units,Volts,,,-2,32000000,4.000.000.000,
Vertical Scale,200.000.003,,,-2,32000000,4.079.999.924,
Vertical Offset,0,,,-2,31000000,4.079.999.924,
Horizontal Units,s,,,-2,31000000,4.000.000.000,
Horizontal Scale,5,0,,-2,31000000,4.079.999.924,
Pt Fmt,Y,,,-2,31000000,4.000.000.000,
Yzero,-1,600000000,,-2,31000000,4.000.000.000,
Probe Atten,100.000.000,,,-2,30000000,4.000.000.000,
,,,,-2,30000000,3.920.000.076,
Note, - 5:35:32 p. m.   11/03/2021,,,-2,30000000,4.000.000.000,
,,,,-2,30000000,3.920.000.076,
,,,,-2,30000000,3.920.000.076,
,,,,-2,29000000,4.000.000.000,
,,,,-2,29000000,3.920.000.076,
,,,,-2,29000000,4.000.000.000,
,,,,-2,29000000,3.920.000.076,
,,,,-2,29000000,3.920.000.076,
,,,,-2,28000000,3.920.000.076,
,,,,-2,28000000,3.920.000.076,
,,,,-2,28000000,3.920.000.076,
,,,,-2,28000000,3.920.000.076,
,,,,-2,28000000,3.840.000.153,
,,,,-2,27000000,3.920.000.076,
,,,,-2,27000000,3.840.000.153,
,,,,-2,27000000,3.920.000.076,
,,,,-2,27000000,3.920.000.076,
,,,,-2,27000000,3.840.000.153,
,,,,-2,26000000,3.920.000.076,
,,,,-2,26000000,3.840.000.153,
,,,,-2,26000000,3.840.000.153,
,,,,-2,26000000,3.840.000.153,
,,,,-2,26000000,3.840.000.153,
,,,,-2,25000000,3.840.000.153,
,,,,-2,25000000,3.840.000.153,
,,,,-2,25000000,3.760.000.229,
,,,,-2,25000000,3.840.000.153,
,,,,-2,25000000,3.760.000.229,
,,,,-2,24000000,3.840.000.153,
,,,,-2,24000000,3.840.000.153,
,,,,-2,24000000,3.760.000.229,
